park_id,dimensions_x,dimensions_y,batter_left_x,batter_left_y,batter_right_x,batter_right_y,bases_x0,bases_x1,bases_x2,bases_y0,bases_y1,bases_y2,positions_x0,positions_x1,positions_x2,positions_x3,positions_x4,positions_x5,positions_x6,positions_x7,positions_x8,positions_x9,positions_y0,positions_y1,positions_y2,positions_y3,positions_y4,positions_y5,positions_y6,positions_y7,positions_y8,positions_y9,avg,avg_l,avg_r,d,t,hr,hr_r,hr_l,temperature0,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,temperature8,temperature9,temperature10,temperature11,rain0,rain1,rain2,rain3,rain4,rain5,rain6,rain7,rain8,rain9,rain10,rain11,wind,wind_direction,distances0,distances1,distances2,distances3,distances4,distances5,distances6,wall_heights0,wall_heights1,wall_heights2,wall_heights3,wall_heights4,wall_heights5,wall_heights6,name,picture,picture_night,nation_id,capacity,type,foul_ground,turf,gender,relative_path_3d_model,file_name_3d_model,home_team_dugout_is_at_first_base
26,0,0,323,362,148,362,443,224,86,315,254,303,0,266,242,420,333,47,150,67,237,440,0,317,411,278,226,268,217,167,140,180,0.9635,0.9700,0.9600,0.9600,0.7100,1.0615,1.0300,1.1200,57,58,58,61,63,66,69,71,70,67,62,58,2,3,3,1,0,0,0,0,0,1,1,2,8,6,330,355,387,400,370,350,330,8,8,8,8,8,8,8,"Angel Stadium of Anaheim","angel_stadium_of_anaheim_d.webp","angel_stadium_of_anaheim_n.webp",0,45050,0,0,0,0,"./angel_stadium_of_anaheim/","angel_stadium_of_anaheim.pod",0
27,0,0,346,355,140,355,430,224,75,304,254,300,0,259,266,410,319,43,137,59,264,441,0,306,411,267,215,261,215,146,133,175,0.9670,0.9800,0.9600,1.0000,0.5900,1.0875,1.0700,1.1200,57,58,58,61,63,66,69,71,70,67,62,58,2,3,3,1,0,0,0,0,0,1,1,2,8,2,330,360,385,400,385,360,330,4,4,8,8,8,4,4,"Dodger Stadium","dodger_stadium_d.webp","dodger_stadium_n.webp",0,55000,0,0,0,0,"./dodger_stadium/","dodger_stadium.pod",0
28,0,0,345,358,149,357,443,227,86,306,237,290,0,266,266,421,333,47,148,38,264,450,0,308,411,266,204,250,195,139,121,153,0.9735,0.9800,0.9700,1.0000,0.8900,1.0770,1.0700,1.0900,21,25,35,45,56,66,72,71,63,51,38,26,3,3,4,4,4,4,3,3,3,3,4,3,12,8,344,371,382,400,383,371,345,8,8,8,8,8,6,6,"Miller Park","miller_park_d.webp","miller_park_n.webp",0,41900,2,0,0,0,"./miller_park/","miller_park.pod",1
29,0,0,337,355,140,355,432,224,75,306,251,300,0,263,266,422,333,36,149,69,258,449,0,308,411,264,213,262,214,146,119,156,1.0300,1.0300,1.0300,1.1500,1.0500,0.9565,0.9600,0.9500,13,20,32,47,59,68,73,71,61,49,33,19,3,3,3,3,4,4,4,3,3,3,3,3,11,2,339,358,377,404,378,367,328,8,8,8,8,23,23,23,"Target Field","target_field_d.webp","target_field_n.webp",0,39021,0,0,0,0,"./target_field/","target_field.pod",1
30,0,0,337,355,140,355,432,224,75,306,251,300,0,263,266,422,333,36,149,69,258,449,0,308,411,264,213,262,214,146,119,156,0.9900,0.9900,0.9900,0.8600,0.9400,1.0920,1.0500,1.1700,32,34,41,50,60,69,75,74,67,57,47,37,3,3,4,4,4,3,3,3,3,3,3,3,12,6,318,362,399,408,385,354,314,8,8,8,8,8,8,8,"Yankee Stadium","yankee_stadium_d.webp","yankee_stadium_n.webp",0,52325,0,0,0,0,"./yankee_stadium/","yankee_stadium.pod",1
31,0,0,336,366,140,362,443,224,86,315,254,303,0,266,242,420,333,47,150,57,264,440,0,317,418,278,226,268,217,152,127,177,0.8940,0.9200,0.8800,0.8500,0.6900,0.9355,0.9600,0.8900,32,34,41,50,60,69,75,74,67,57,47,37,3,3,4,4,4,3,3,3,3,3,3,3,12,5,331,347,373,408,384,375,330,8,8,8,11,18,8,8,"Citi Field","citi_field_d.webp","citi_field_n.webp",0,41922,0,0,0,0,"./citi_field/","citi_field.pod",1
32,0,0,337,355,140,355,430,224,86,315,254,303,0,257,253,420,333,47,150,65,264,435,0,317,413,278,226,268,217,135,122,148,1.0000,1.0000,1.0000,1.0500,1.0500,0.9500,0.9500,0.9500,56,60,65,71,81,90,95,93,87,75,63,56,2,2,2,1,0,0,0,2,1,1,1,2,6,4,330,367,388,400,388,367,330,8,8,8,8,8,8,8,"Talking Stick Ballpark","talking_stick_ballpark_d.jpg","talking_stick_ballpark_n.jpg",0,49500,2,0,0,0,"","",0
33,0,0,343,362,140,363,443,224,86,315,254,303,0,266,249,420,333,47,150,63,259,443,0,317,417,278,226,268,217,157,130,169,0.9935,1.0000,0.9900,1.0000,1.0000,1.2490,1.2700,1.2100,32,35,43,53,64,72,78,76,69,57,47,37,3,3,4,4,3,3,3,3,3,3,3,3,10,1,329,356,385,401,381,357,330,11,11,11,6,13,13,13,"Citizens Bank Park","citizens_bank_park_d.webp","citizens_bank_park_n.webp",0,43651,0,0,0,0,"./citizens_bank_park/","citizens_bank_park.pod",1
34,0,0,356,350,158,348,443,235,84,303,235,296,0,263,258,433,343,48,144,54,252,440,0,306,407,264,205,256,196,142,119,150,0.9944,1.0100,0.9860,1.1300,0.8400,0.8495,0.7900,0.9600,28,31,40,50,60,68,73,71,64,53,42,33,5,5,5,5,4,4,4,3,3,3,4,5,9,1,325,362,395,399,395,350,320,6,6,10,10,10,21,21,"PNC Park","pnc_park_d.webp","pnc_park_n.webp",0,38362,0,0,0,0,"./pnc_park/","pnc_park.pod",0
35,0,0,340,378,141,377,443,224,86,315,254,303,0,266,264,420,333,47,150,73,256,433,0,317,427,278,226,268,217,164,148,175,0.9928,0.9850,0.9970,1.0100,0.8220,0.9507,0.9560,0.9410,40,43,47,51,57,63,68,69,64,54,46,40,6,6,6,5,4,3,3,2,3,4,7,7,8,1,325,355,375,400,380,360,330,15,15,15,8,8,8,8,"Intel Ballpark","petco_park_d.webp","petco_park_n.webp",0,38050,2,0,0,0,"./petco_park/","petco_park.pod",1
36,0,0,329,355,132,355,443,224,78,301,246,292,0,255,258,419,337,49,150,32,243,433,0,305,411,261,209,255,208,147,119,153,0.9770,0.9900,0.9700,0.9700,0.8500,0.9705,0.9600,0.9900,42,44,47,51,57,61,66,66,61,53,46,41,6,6,6,5,3,3,3,2,3,3,7,6,7,4,331,360,378,401,381,362,326,8,8,8,8,8,8,8,"Safeco Field","safeco_field_d.webp","safeco_field_n.webp",0,47116,2,0,0,0,"","",1
37,0,0,344,370,153,373,443,224,86,315,254,303,0,266,259,420,333,47,150,67,264,440,0,317,428,278,226,268,217,167,153,191,0.9805,1.0000,0.9700,0.9700,1.1500,0.8425,0.8600,0.8100,49,52,54,56,59,61,63,64,64,61,55,50,3,3,3,3,1,0,0,0,0,1,3,3,11,5,339,364,404,399,421,365,309,8,8,8,8,8,8,8,"AT&T Park","at_t_park_d.webp","at_t_park_n.webp",0,41503,0,0,0,0,"","",0
38,0,0,331,377,134,379,429,229,89,329,267,325,0,261,238,411,341,50,156,52,249,440,0,339,429,293,241,283,231,183,185,198,0.9800,0.9800,0.9800,0.9930,0.9500,0.8625,0.8100,0.9600,30,35,46,57,67,76,80,78,70,58,45,34,3,3,4,4,3,3,3,3,3,3,3,3,10,6,336,355,375,400,375,355,335,8,8,8,8,8,8,8,"Busch Stadium","busch_stadium_d.webp","busch_stadium_n.webp",0,46861,0,0,0,0,"./busch_stadium/","busch_stadium.pod",1
39,0,0,325,332,145,330,439,227,65,267,209,262,0,245,253,417,332,48,151,64,263,447,0,261,390,226,171,218,171,122,99,120,0.9804,0.9960,0.9720,1.1270,0.8860,0.9471,0.9300,0.9790,22,27,37,48,59,68,73,72,64,52,39,27,3,3,4,4,3,3,3,3,3,3,4,3,10,7,320,370,410,395,386,322,322,6,6,12,12,15,35,35,"The Underground","publix_park_d.jpg","publix_park_d.png",0,44880,2,0,0,0,"","",1
40,0,0,349,360,140,355,434,224,86,311,254,303,0,266,250,419,338,47,150,55,264,439,0,317,416,272,219,268,210,147,123,172,1.0235,1.0300,1.0200,1.0100,1.1000,1.0470,1.0400,1.0600,44,49,57,65,73,81,85,84,78,67,55,47,3,3,3,3,3,3,3,2,3,2,3,2,11,1,332,354,390,400,377,349,325,8,8,8,8,8,8,8,"Globe Life Park in Arlington","globe_life_park_in_arlington_d.webp","globe_life_park_in_arlington_n.webp",0,49115,0,0,0,0,"","",1
41,0,0,347,350,154,350,442,224,87,305,254,296,0,266,265,420,333,47,150,55,252,441,0,309,403,270,219,260,217,158,145,174,0.9865,0.9800,0.9900,1.0300,0.9300,1.1230,1.1300,1.1100,21,22,32,44,55,64,70,68,59,48,38,27,2,2,2,2,2,2,2,3,2,2,2,2,14,1,328,352,390,400,390,352,328,10,10,10,10,10,10,10,"Rogers Centre","rogers_centre_d.webp","rogers_centre_n.webp",0,50598,2,0,1,0,"./rogers_centre/","rogers_centre.pod",0
42,0,0,337,355,140,355,432,224,75,306,251,300,0,263,266,422,333,36,149,69,258,449,0,308,411,264,213,262,214,146,119,156,1.0805,1.1000,1.0700,1.1500,0.8100,1.1395,1.1500,1.1200,35,38,47,56,66,75,79,77,71,59,49,40,3,3,4,3,3,3,3,3,3,3,3,3,9,5,336,355,377,402,370,353,335,8,8,8,12,12,12,12,"Nationals Park","nationals_park_d.webp","nationals_park_n.webp",0,41222,0,0,0,0,"./nationals_park/","nationals_park.pod",1
43,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0005,1.0200,0.9900,1.0180,1.0300,0.9865,0.9900,0.9800,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,3,328,358,398,431,391,357,324,9,9,9,9,9,9,9,"Pittsburgh Pirates Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
44,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9835,0.9900,0.9800,1.0080,1.0400,1.0000,1.0000,1.0000,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,6,332,365,401,424,398,356,328,10,10,10,10,10,10,10,"Ballpark of Severna Park","default_grass.jpg","default_grass.jpg",0,9600,0,0,0,0,"","",1
45,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0200,1.0200,1.0200,0.9780,1.0000,1.0000,1.0000,1.0000,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,1,335,360,375,400,375,355,335,7,7,7,7,7,7,7,"LECOM Park","default_grass.jpg","default_grass.jpg",0,8500,0,0,0,0,"","",1
46,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0250,1.0250,1.0250,0.9320,0.9300,1.0720,1.0650,1.0850,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,8,324,344,380,417,379,339,316,9,9,9,9,9,9,9,"Philadelphia Phillies Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
47,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9790,1.0050,0.9650,1.0140,1.1300,0.9215,0.9250,0.9150,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,8,338,372,419,439,412,374,331,10,10,10,16,10,10,10,"Academia de Abel Garcia","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
48,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9365,0.9950,0.9050,0.9520,0.9400,0.9865,0.9550,1.0450,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,4,330,365,402,423,376,343,318,18,18,14,10,10,10,10,"Tampa Bay Rays Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
49,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9180,0.9050,0.9250,0.9620,0.9000,0.9950,0.9950,0.9950,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,4,323,359,391,420,390,352,316,7,7,7,7,7,7,7,"Ballpark of Hartsdale","default_grass.jpg","default_grass.jpg",0,8700,0,0,0,0,"","",1
50,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9995,0.9800,1.0100,1.1080,1.2800,1.0095,1.0200,0.9900,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,5,327,365,401,428,399,357,321,9,9,9,9,9,9,9,"New York Yankees Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
51,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0095,0.9900,1.0200,0.9580,1.0000,0.9705,0.9600,0.9900,69,69,69,68,64,60,60,64,69,75,73,71,11,10,7,1,0,0,0,0,0,1,5,11,8,2,332,359,403,422,400,356,321,9,9,9,15,9,9,9,"San Diego Padres Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
52,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0635,1.0700,1.0600,0.8260,0.7800,1.1530,1.1600,1.1400,43,47,54,62,70,77,80,79,73,63,53,45,3,3,4,3,3,3,3,4,3,2,3,3,9,2,317,335,362,412,359,334,308,12,12,12,12,12,12,12,"Colorado Rockies Complex","default_grass.jpg","default_grass.jpg",0,200,0,0,0,0,"","",1
53,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9865,0.9800,0.9900,0.9480,0.9600,1.0065,1.0100,1.0000,32,36,44,53,63,72,77,75,67,55,46,37,3,3,4,4,3,3,3,3,3,3,3,3,9,8,329,360,397,427,394,359,326,9,9,9,9,9,9,9,"Lihue Grounds","default_grass.jpg","default_grass.jpg",0,9700,0,0,0,0,"","",1
